id,field,selected,scheduled,sbid,observed,processed,quality,casda
0,RACS_test4_1.05_1433-69A,1,1,9510,1,,,
1,RACS_test4_1.05_1327-73A,1,1,9510,1,,,
10,RACS_test4_1.05_0805-71A,1,1,9510,1,,,
100,RACS_test4_1.05_2131-56A,1,1,8676,1,,,
101,RACS_test4_1.05_2214-56A,1,1,8680,1,,,
102,RACS_test4_1.05_2256-56A,1,1,8680,1,,,
103,RACS_test4_1.05_2338-56A,1,1,8680,1,,,
104,RACS_test4_1.05_0021-56A,1,1,8676,1,,,
105,RACS_test4_1.05_0103-56A,1,1,8680,1,,,
106,RACS_test4_1.05_0145-56A,1,1,8680,1,,,
107,RACS_test4_1.05_0228-56A,1,1,8676,1,,,
108,RACS_test4_1.05_0310-56A,1,1,8673,1,,,
109,RACS_test4_1.05_0352-56A,1,1,8673,1,,,
11,RACS_test4_1.05_1714-73A,1,1,9510,1,,,
110,RACS_test4_1.05_0435-56A,1,1,8673,1,,,
111,RACS_test4_1.05_0517-56A,1,1,8673,1,,,
112,RACS_test4_1.05_0559-56A,1,1,8641,1,,,
113,RACS_test4_1.05_0642-56A,1,1,8641,1,,,
114,RACS_test4_1.05_0724-56A,1,1,8641,1,,,
115,RACS_test4_1.05_0807-56A,1,1,8641,1,,,
116,RACS_test4_1.05_0849-56A,1,1,8641,1,,,
117,RACS_test4_1.05_0931-56A,1,1,8641,1,,,
118,RACS_test4_1.05_1014-56A,1,1,8641,1,,,
119,RACS_test4_1.05_1056-56A,1,1,8673,1,,,
12,RACS_test4_1.05_1645-80A,1,1,9510,1,,,
120,RACS_test4_1.05_1138-56A,1,1,8673,1,,,
121,RACS_test4_1.05_1218-50A,1,1,8673,1,,,
122,RACS_test4_1.05_1255-50A,1,1,8673,1,,,
123,RACS_test4_1.05_1332-50A,1,1,8673,1,,,
124,RACS_test4_1.05_1409-50A,1,1,8673,1,,,
125,RACS_test4_1.05_1446-50A,1,1,8673,1,,,
