sbid,cal_sbid
8537,8536
8537, 8536  
8538, 8536  
8539, 8536  
8540, 8544  
8541, 8544  
8542, 8544  
8545, 8544  
8546, 8544  
8547, 8544  
8548, 8544  
8567, 8566  
8568, 8566  
8569, 8571  
8570, 8571  
8572, 8571  
8574, 8577  
8576, 8577  
8578, 8577  
8579, 8581  
8580, 8581  
8582, 8581  
8583, 8585  
8584, 8585  
8586, 8585  
8587, 8585  
8589, 8590  
8591, 8590  
8592, 8590  
8593, 8594  
8595, 8594  
8597, 8594  
8598, 8594  
8600, 8594  
8641, 8644  
8646, 8644  
8673, 8675  
8674, 8675  
8676, 8675  
8678, 8679  
8680, 8679  
9510, 9514  
9515, 9514  
9607, 9608  
10383,10379
10485,10469

