INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY,SELECT,DEFECT,ANOMALY,COMMENT,MinUV,CPSF_MAJOR,CPSF_MINOR,CPSF_ANGLE
0,0,RACS_1433-69A,9510,6,9514,IMAGED,14 33 58.34,-69 44 45.04,218.493083333333,-69.7458444444444,311.644562216516,-8.62759843891533,94.714,5071524507.24288,2607.7593598645,1104.81408,36,5079285665.333,131185034,22.7990083953354,11.2882033913697,-80.4335936118208,-0.06329077482223511,2.44923734664917,271.0941560715547,251.12677430709059,103.83311256049623,174.07719023232994,1173.573860864095,5107124795.0,4535,0,0,0,,0,27.9,14.500000000000009,-79.68
1,0,RACS_1433-69A,13754,0,13708,IMAGED,14 33 58.34,-69 44 45.04,218.493083333333,-69.7458444444444,311.644562216516,-8.62759843891533,94.714,5095151289.55737,905.7484803479,905.74848,36,5096538882.321,131195854,16.7822949112714,11.7008207475433,-2.2934561280167,-0.019535958766937256,2.6983444690704346,197.06483732072223,182.73647075829896,73.70158588437741,135.8371067259204,942.9797037519112,5099965940.0,6420,1,0,0,,0,18.699999999999985,14.000000000000004,-1.06
2,1,RACS_1327-73A,9510,2,9514,IMAGED,13 27 14.308,-73 01 54.17,201.809616666667,-73.0317138888889,305.577263598911,-10.3441053999612,112.297,5071519669.9488,925.655040292053,925.65504,36,5079285603.206,131372810,25.5742786421338,10.9179475616316,-88.4567779387159,-0.029183952137827873,1.2878564596176147,259.9432629245224,238.71366602783985,111.2249648763135,163.8221500359967,1955.357905756199,5107124663.0,4936,0,0,0,,0,32.20000000000002,15.199999999999992,-87.96
3,1,RACS_1327-73A,12499,2,12509,IMAGED,13 27 14.308,-73 01 54.17,201.809616666667,-73.0317138888889,305.577263598911,-10.3441053999612,112.297,5092043413.37741,905.7484803479,905.74848,36,5092489695.592,131362956,21.52997716527,11.6530524217836,-34.1576966222355,-0.014390617609024048,1.0800563097000122,256.2077736483405,236.41100842690776,100.40625056865935,166.8413217373474,1844.8929132754224,5099942297.0,5367,0,0,0,,0,28.100000000000016,15.3,-26.95
4,1,RACS_1327-73A,13750,0,13708,IMAGED,13 27 14.308,-73 01 54.17,201.809616666667,-73.0317138888889,305.577263598911,-10.3441053999612,112.297,5095146422.40345,905.7484803479,905.74848,36,5096539617.889,131417195,17.9491868752755,11.6311714225478,-7.28182428654254,-0.010201077908277512,1.0983487367630005,202.01893220396727,190.55683512974417,70.91977099849686,128.4720036964049,1422.9762273156439,5099965577.0,7238,1,0,0,,0,20.900000000000016,14.000000000000004,-6.95
5,2,RACS_1200-74A,9510,0,9514,IMAGED,12 00 00,-74 16 44.4,180.0,-74.279,299.400459998951,-11.760994710871,-225.0,5071517818.63872,925.655039338379,925.65504,36,5080259520.0,130615116,22.5425832945633,11.0531767353205,-73.1154285667882,-0.03312814235687256,1.6492103338241577,259.31157139692596,243.65801079559816,91.26016914681716,171.86380758207758,1557.329142508991,5107153164.0,4881,0,0,0,,0,27.10000000000001,15.199999999999992,-74.84
6,2,RACS_1200-74A,13830,0,13818,IMAGED,12 00 00,-74 16 44.4,180.0,-74.279,299.400459998951,-11.760994710871,-225.0,5095144391.93434,905.748479394226,905.74848,36,5096947677.485,130696625,18.4372075354326,11.4816534670023,9.71927019605751,-0.011361872777342796,1.5541638135910034,182.76505155683537,173.31922731231631,57.00154073481698,128.63889033923422,1255.1397913203937,5099968417.0,6974,1,0,0,,0,21.800000000000015,14.4,11.89
7,3,RACS_1032-73A,9607,4,9608,IMAGED,10 32 45.691,-73 01 54.17,158.190379166667,-73.0317138888889,293.127861783791,-12.8566727516706,-202.297,5072731970.27366,905.7484803479,905.74848,36,5079275529.899,131428231,18.9479019313388,11.6321291134881,-5.56423626542457,-0.012875545769929886,3.4281275272369385,201.97068080803126,186.1475112935532,79.93877866747593,133.6489352939569,1353.9151813119672,5099989647.0,6285,0,0,0,,0,23.900000000000006,18.10000000000001,-18.91
8,3,RACS_1032-73A,13831,0,13818,IMAGED,10 32 45.691,-73 01 54.17,158.190379166667,-73.0317138888889,293.127861783791,-12.8566727516706,-202.297,5095223988.31449,905.7484803479,905.74848,36,5096947767.435,131452306,17.9063185386478,11.4360431731695,4.23255111228275,-0.009301001206040382,3.730363607406616,180.7562713623047,167.21434020996094,66.31424713134766,123.63554382324219,949.3468627929688,5099969730.0,7126,1,0,0,,0,20.99999999999999,14.000000000000004,7.5
9,4,RACS_0926-69A,9607,3,9608,IMAGED,09 26 01.659,-69 44 45.04,141.5069125,-69.7458444444444,286.779872563569,-13.6135314050869,-184.714,5072731054.5719,915.70175984314,915.70176,36,5079275461.247001,131211812,17.738543314579392,11.383016449936248,12.2108251761638,-0.01213467214256525,2.7121593952178955,198.47352600097656,184.33270263671875,75.46166229248047,131.4909210205078,945.0536499023438,5107069220.0,6086,1,0,0,,0,22.700000000000017,18.29999999999999,3.11
